ARTIST	TITLE	ACOUSTIC	DANCE	DURATION	ENERGY	INSTRUMENTAL	LIVE	LOUD	SPEECH	TEMPO	VALENCE	RATING
Oasis	Don't Look Back In Anger - Live at Wembley Stadium, 2000	0.0235	0.28600000000000003	327448.0	0.9420000000000001	0.0229	0.965	5.115	0.0786	86.27600000000001	0.214	GOOD
Oasis	Live Forever - Live at Wembley Stadium, 2000	0.0107	0.23199999999999998	309847.0	0.946	0.0681	0.983	4.079	0.0773	90.387	0.196	GOOD
Oasis	Hey Hey, My, My (Into The Black) - Live at Wembley Stadium, 2000	0.000661	0.384	225280.0	0.956	0.6459999999999999	0.982	5.247000000000001	0.0607	128.431	0.23	GOOD
Oasis	Champagne Supernova - Live at Wembley Stadium, 2000	0.0038799999999999998	0.113	391953.0	0.888	0.00864	0.983	4.645	0.0541	82.179	0.107	GOOD
Oasis	Rock 'N' Roll Star - Live at Wembley Stadium, 2000	0.008579999999999999	0.142	446798.0	0.996	0.5920000000000001	0.98	3.443	0.258	140.05700000000002	0.0756	GOOD
Oasis	Helter Skelter - Live for SFX Radio, 2000	0.000118	0.111	391628.0	0.9790000000000001	0.35700000000000004	0.98	3.9339999999999997	0.10400000000000001	89.353	0.156	GOOD
Metallica	Enter Sandman	0.00213	0.5770000000000001	331267.0	0.828	0.0114	0.0581	8.691	0.0298	123.257	0.604	GOOD
Metallica	Sad But True	0.000819	0.633	323933.0	0.846	0.00139	0.0762	6.347	0.0337	89.23	0.44799999999999995	GOOD
Metallica	Holier Than Thou	0.000322	0.47100000000000003	227640.0	0.956	0.528	0.066	6.25	0.0381	172.15	0.315	GOOD
Metallica	The Unforgiven	0.0108	0.54	386493.0	0.584	0.00296	0.253	9.579	0.0254	139.261	0.244	GOOD
Metallica	Wherever I May Roam	0.000362	0.55	403867.0	0.8240000000000001	0.00115	0.0865	7.848	0.0347	131.387	0.332	GOOD
Metallica	Don't Tread On Me	0.0054600000000000004	0.677	240333.0	0.835	0.005379999999999999	0.297	7.627000000000001	0.0411	108.00299999999999	0.6890000000000001	GOOD
Metallica	Through The Never	0.00583	0.39399999999999996	242907.0	0.9309999999999999	0.46399999999999997	0.179	6.7620000000000005	0.0413	94.00399999999999	0.517	GOOD
Metallica	Nothing Else Matters	0.0458	0.5529999999999999	388267.0	0.36200000000000004	6.01e-06	0.075	11.218	0.0263	142.352	0.158	GOOD
Metallica	Of Wolf And Man	0.00106	0.626	256533.0	0.7490000000000001	0.0338	0.114	7.746	0.0356	121.77600000000001	0.493	GOOD
Metallica	The God That Failed	0.000327	0.536	308533.0	0.7979999999999999	0.000276	0.122	6.531000000000001	0.0402	82.99	0.44	GOOD
Metallica	My Friend Of Misery	0.000283	0.5820000000000001	407773.0	0.8190000000000001	0.0167	0.0996	8.092	0.0345	119.51299999999999	0.39399999999999996	GOOD
Metallica	The Struggle Within	0.00056	0.488	233907.0	0.9309999999999999	0.0449	0.22399999999999998	7.349	0.0533	98.868	0.53	GOOD
Paul McCartney	Drive My Car - Live At Citi Field	0.00112	0.59	145432.0	0.833	0.0	0.877	8.005	0.033	127.536	0.701	GOOD
Paul McCartney	Jet - Live At Citi Field	0.000784	0.43700000000000006	259898.0	0.732	0.00011	0.97	8.665	0.0326	128.734	0.0855	GOOD
Paul McCartney	Only Mama Knows - Live At Citi Field	0.00318	0.44799999999999995	220559.0	0.703	7.52e-06	0.425	9.02	0.0352	131.415	0.38	GOOD
